










2000-01-01 00:08:15, 19.74, 36.3, 65.8, 515.26, 6.88, 232.4, 100, 0, 25
2017-02-23 23:51:49, 19.73, 36.38, 58, 514.61, 7.06, 207.9, 100, 0, 25
2017-02-23 23:52:08, 19.77, 36.37, 60.55, 502.91, 7.39, 192.3, 100, 0, 25
2017-02-23 23:52:28, 19.87, 36.07, 58.57, 509.7, 7.81, 127.8, 100, 0, 25
2017-02-23 23:52:48, 19.88, 35.94, 50, 514.08, 8.11, 194.8, 100, 0, 25
2017-02-23 23:53:05, 19.97, 35.98, 63.6, 514.09, 8.38, 205.2, 100, 0, 25
2017-02-23 23:53:25, 20.06, 35.78, 72.62, 514.09, 8.75, 225.9, 100, 0, 25
2017-02-24 01:04:43, 18.31, 53.47, 59, 471.44, 7.27, 325.9, 100, 0, 17
2017-02-24 01:05:05, 18.18, 53.69, 57, 440.15, 5.21, 327.4, 100, 0, 19
2017-02-24 01:05:26, 18.12, 53.27, 62.55, 440.31, 5.84, 326.1, 100, 0, 19
2017-02-24 01:05:47, 18.08, 53.52, 60, 440.24, 6.5, 324.8, 100, 0, 21
2017-02-24 01:06:09, 18.13, 53.84, 50, 420.15, 6.75, 326.1, 100, 0, 17
2017-02-24 01:06:30, 18.18, 53.54, 50, 428.25, 7.07, 326.1, 100, 0, 17
2017-02-24 01:06:55, 18.08, 53.55, 65.8, 429.62, 7.39, 324.6, 100, 0, 19
2017-02-24 01:07:16, 18.08, 53.44, 64.1, 432.88, 7.57, 325.9, 100, 0, 21
2017-02-24 01:07:38, 18.05, 52.87, 50, 436.29, 7.87, 325.9, 100, 0, 18
2017-02-24 01:08:04, 18.13, 52.81, 50, 433.88, 7.95, 324.6, 100, 0, 24
2017-02-24 01:08:26, 18.12, 53.35, 60.25, 432.35, 8.06, 324.6, 100, 0, 20
2017-02-24 01:08:47, 18.08, 53.42, 58.14, 432.84, 8.21, 324.6, 100, 0, 23
2017-02-24 01:09:09, 18.16, 53.4, 62.78, 429.59, 8.22, 324.6, 100, 0, 19
2017-02-24 01:09:30, 18.25, 53.69, 63.4, 427.69, 8.26, 326.1, 100, 0, 22
2017-02-24 01:09:57, 18.14, 52.87, 62.63, 435.96, 8.49, 324.6, 100, 0, 23
2017-02-24 01:10:19, 18.35, 53.04, 58, 429.67, 8.46, 324.6, 100, 0, 20
2017-02-24 01:10:40, 18.43, 52.77, 65.25, 429.74, 8.5, 325.9, 100, 0, 20
2017-02-24 01:11:01, 18.5, 52.41, 65.35, 429.67, 8.58, 325.9, 100, 0, 19
2017-02-24 01:11:22, 18.47, 52.2, 63.77, 432.99, 8.66, 327.3, 100, 0, 16
2017-02-24 01:11:44, 18.69, 52.45, 50, 426.3, 8.66, 327.3, 100, 0, 19
2017-02-24 01:12:11, 18.64, 51.85, 50, 432.85, 8.74, 328.6, 100, 0, 22
2017-02-24 01:12:33, 18.54, 51.7, 60.6, 436.39, 8.96, 323.3, 100, 0, 20
2017-02-24 01:12:54, 18.65, 52.06, 58.36, 432.72, 8.91, 324.8, 100, 0, 18
2017-02-24 01:13:16, 18.7, 52.21, 64.6, 429.6, 8.95, 326.1, 100, 0, 20
2017-02-24 01:13:37, 18.79, 52.32, 58.07, 426.34, 8.95, 324.8, 100, 0, 20
2017-02-24 01:13:59, 18.86, 51.85, 50, 429.63, 8.96, 326.1, 100, 0, 19
2017-02-24 01:14:20, 18.67, 51.34, 62.6, 436.4, 9.13, 324.8, 100, 0, 18
2017-02-24 01:14:42, 18.72, 51.82, 58.93, 433.12, 9.09, 324.8, 100, 0, 23
2017-02-24 01:15:04, 18.73, 51.48, 60.05, 433.72, 9.16, 323.5, 100, 0, 20
2017-02-24 01:15:25, 18.71, 51.33, 50, 436.43, 9.22, 324.8, 100, 0, 18
2017-02-24 01:15:46, 18.65, 51.21, 50, 439.57, 9.3, 324.8, 100, 0, 21
2017-02-24 01:16:14, 18.56, 51.76, 60.5, 436.36, 9.39, 324.8, 100, 0, 21
2017-02-24 01:16:37, 18.57, 51.75, 60.35, 436.48, 9.39, 323.3, 100, 0, 20
2017-02-24 01:16:58, 18.59, 51.39, 62.08, 439.83, 9.44, 323.3, 100, 0, 20
2017-02-24 01:17:22, 18.47, 51.25, 59.9, 442.33, 9.53, 323.3, 100, 0, 19
2017-02-24 01:17:44, 18.5, 51.74, 50, 436.69, 9.53, 324.8, 100, 0, 19
2017-02-24 01:18:05, 18.42, 51.88, 60.55, 439.84, 9.63, 322, 100, 0, 19
2017-02-24 01:18:30, 18.56, 51.98, 59.65, 436.37, 9.51, 324.8, 100, 0, 20
2017-02-24 01:18:52, 18.58, 51.68, 57.67, 436.64, 9.59, 323.3, 100, 0, 22
2017-02-24 01:19:13, 18.6, 50.9, 61.87, 443.28, 9.63, 323.3, 100, 0, 20
2017-02-24 01:19:35, 18.54, 51.81, 58.21, 439.54, 9.68, 324.6, 100, 0, 15
2017-02-24 01:19:56, 18.62, 51.49, 59.15, 436.73, 9.64, 322, 100, 0, 18
2017-02-24 01:20:17, 18.56, 51.59, 59.05, 439.87, 9.73, 323.3, 100, 0, 23
2017-02-24 01:20:41, 18.46, 51.45, 61.33, 443.45, 9.82, 323.3, 100, 0, 21
2017-02-24 01:21:02, 18.42, 51.88, 58.79, 443.32, 9.83, 323.3, 100, 0, 20
2017-02-24 01:21:25, 18.43, 51.21, 50, 446.74, 9.88, 322, 100, 0, 20
2017-02-24 01:21:46, 18.51, 51.84, 62.28, 440.12, 9.82, 324.8, 100, 0, 21
2017-02-24 01:22:08, 18.54, 51.63, 64.8, 441.35, 9.86, 323.3, 100, 0, 19
2017-02-24 01:22:29, 18.62, 51.67, 62.58, 439.73, 9.82, 323.3, 100, 0, 19
